Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches,Team
Jane Campbell,us USA,GK,30-206,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1,Matches,Houston Dash
Katie Lind,us USA,DF,31-208,12.0,13,8,9,4,0,4,6,66.7,2,16,12,4,9,22,56,0,Matches,Houston Dash
Ryan Gareis,us USA,"MF,DF",26-302,10.3,6,5,1,4,1,2,5,40.0,3,11,2,9,4,10,11,0,Matches,Houston Dash
Bárbara Olivieri,ve VEN,"FW,MF",23-199,9.9,24,15,9,9,6,12,26,46.2,14,17,0,17,18,42,8,0,Matches,Houston Dash
Messiah Bright,us USA,FW,25-242,9.8,16,10,4,8,4,7,9,77.8,2,9,2,7,5,21,8,0,Matches,Houston Dash
Kiki Van Zanten,jm JAM,"FW,MF",24-017,6.9,25,17,10,7,8,12,22,54.5,10,16,1,15,10,35,11,0,Matches,Houston Dash
Christen Westphal,us USA,DF,32-009,5.9,13,11,7,2,4,9,12,75.0,3,11,5,6,8,21,26,0,Matches,Houston Dash
Allysha Chapman,ca CAN,DF,36-229,5.8,6,3,5,1,0,3,4,75.0,1,10,5,5,14,20,17,0,Matches,Houston Dash
Abby Smith,us USA,GK,31-342,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches,Houston Dash
Evelina Duljan,se SWE,"FW,MF",22-122,4.6,12,7,3,8,1,7,16,43.8,9,9,1,8,4,16,2,0,Matches,Houston Dash
Sophie Schmidt,ca CAN,MF,37-075,2.4,8,6,3,3,2,3,5,60.0,2,3,1,2,5,13,5,0,Matches,Houston Dash
Michelle Alozie,ng NGA,"DF,MF",28-136,3.8,5,3,2,2,1,2,8,25.0,6,3,1,2,2,7,13,0,Matches,Houston Dash
Sarah Puntigam,at AUT,MF,32-333,2.4,7,4,2,4,1,2,4,50.0,2,6,0,6,0,7,4,0,Matches,Houston Dash
Clarissa Larisey,ca CAN,"FW,MF",26-071,1.0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,3,0,Matches,Houston Dash
Diana Ordoñez,mx MEX,FW,23-350,0.8,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,Matches,Houston Dash
Ramona Bachmann,ch SUI,MF,34-260,0.4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches,Houston Dash
Squad Total,,,28.1,19.0,328,211,155,123,50,150,262,57.3,112,256,76,180,228,556,499,8,,Houston Dash
Opponent Total,,,27.1,19.0,378,238,179,148,51,188,313,60.1,125,220,40,180,170,548,432,9,,Houston Dash
Caprice Dydasco,us USA,DF,32-022,19.0,38,23,18,13,7,19,32,59.4,13,22,10,12,30,68,62,0,Matches,Bay FC
Taylor Huff,us USA,"MF,FW",23-025,18.0,30,18,15,11,4,11,21,52.4,10,10,4,6,12,42,26,0,Matches,Bay FC
Racheal Kundananji,zm ZAM,"FW,MF",25-099,17.0,30,21,5,17,8,9,22,40.9,13,25,1,24,10,40,7,0,Matches,Bay FC
Jordan Silkowitz,us USA,GK,25-167,17.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,2,Matches,Bay FC
Alyssa Malonson,us USA,DF,26-154,15.7,42,22,31,8,3,18,25,72.0,7,16,3,13,32,74,66,3,Matches,Bay FC
Joelle Anderson,us USA,DF,26-339,13.1,17,12,11,5,1,7,11,63.6,4,14,9,5,14,31,76,3,Matches,Bay FC
Abby Dahlkemper,us USA,DF,32-120,13.0,11,7,3,8,0,7,11,63.6,4,7,4,3,3,14,58,1,Matches,Bay FC
