Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 4_level_0_MP
Riley Tiernan,us USA,FW,22-300,,19,1641.0,18.2,8.0,1.0,9.0,8.0,0.0,0.0,4.0,0.0,3.4,3.4,2.0,5.4,35.0,35.0,83.0,0.44,0.05,0.49,0.44,0.49,0.18,0.11,0.29,0.18,0.29,Matches,Angel City FC,19.0
Kennedy Fuller,us USA,MF,18-185,,18,1483.0,16.5,3.0,3.0,6.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,4.9,18.0,69.0,50.0,0.18,0.18,0.36,0.18,0.36,0.18,0.12,0.3,0.18,0.3,Matches,Angel City FC,19.0
Alyssa Thompson,us USA,"FW,MF",20-307,,16,1393.0,15.5,6.0,2.0,8.0,5.0,1.0,2.0,3.0,0.0,4.9,3.5,3.3,6.8,52.0,36.0,124.0,0.39,0.13,0.52,0.32,0.45,0.32,0.22,0.53,0.22,0.44,Matches,Angel City FC,16.0
Alanna Kennedy,au AUS,"MF,DF",30-232,,16,1347.0,15.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.7,2.1,6.0,54.0,13.0,0.07,0.07,0.13,0.07,0.13,0.09,0.05,0.14,0.09,0.14,Matches,Angel City FC,16.0
Angelina Anderson,us USA,GK,24-172,,15,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Angel City FC,15.0
Mary Vignola,us USA,"DF,FW",27-211,,15,1285.0,14.3,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.6,2.2,24.0,60.0,37.0,0.07,0.14,0.21,0.07,0.21,0.11,0.04,0.15,0.11,0.15,Matches,Angel City FC,18.0
Gisele Thompson,us USA,"DF,FW",19-282,,14,1100.0,12.2,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.0,2.1,42.0,40.0,68.0,0.08,0.33,0.41,0.08,0.41,0.09,0.08,0.17,0.09,0.17,Matches,Angel City FC,16.0
Madison Hammond,us USA,MF,27-299,,8,857.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,0.3,1.2,4.0,45.0,14.0,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.13,0.1,0.13,Matches,Angel City FC,18.0
Megan Reid,us USA,DF,29-154,,8,789.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches,Angel City FC,15.0
Savannah King,us USA,DF,20-215,,8,708.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Angel City FC,8.0
